"datazone","avg_median_price"
"S01000393",244791.03030303
"S01000394",165032.258064516
"S01000395",226603.448275862
"S01000396",149461.290322581
"S01000397",176246.380952381
"S01000398",282725.196078431
"S01000399",122850.745098039
"S01000400",149984.375
"S01000401",277340
"S01000402",153798.695652174
"S01000403",145977.966101695
"S01000404",158816.666666667
"S01000405",341388.888888889
"S01000406",134946.957446809
"S01000407",140198.125
"S01000408",194994.349206349
"S01000409",177778.272727273
"S01000410",301178.571428571
"S01000411",270575.135135135
"S01000412",241046.511627907
"S01000413",200078.571428571
"S01000414",238518.518518519
"S01000415",199704.444444444
"S01000416",182546.153846154
"S01000417",176166.666666667
"S01000418",172628.205128205
"S01000419",246358.108108108
"S01000420",223324.875
"S01000421",282183.673469388
"S01000422",194452
"S01000423",286214.285714286
"S01000424",173952
"S01000425",228768.292682927
"S01000426",273224.137931034
"S01000427",114351.298701299
"S01000428",170049.473684211
"S01000429",165337.223529412
"S01000430",181269.230769231
"S01000431",128806.25
"S01000432",158199.424657534
"S01000433",182650
"S01000434",137706.321428571
"S01000435",151450.068965517
"S01000436",160820.549019608
"S01000437",131539.318181818
"S01000438",226863.636363636
"S01000439",248227.272727273
"S01000440",225534.385245902
"S01000441",175214.6
"S01000442",235589.743589744
"S01000443",226406.25
"S01000444",235528.50877193
"S01000445",172592.339622642
"S01000446",173107.579710145
"S01000447",219268.904761905
"S01000448",179985.384615385
"S01000449",206219.512195122
"S01000450",112770.88
"S01000451",209546
"S01000452",229768
"S01000453",195258.620689655
"S01000454",193269.230769231
"S01000455",174378.378378378
"S01000456",216757.731958763
"S01000457",142664.208333333
"S01000458",220295.454545455
"S01000459",118883.606557377
"S01000460",110700
"S01000461",95985.5072463768
"S01000462",140065.217391304
"S01000463",117083.125
"S01000464",170285.777777778
"S01000465",203153.947368421
"S01000466",192655.172413793
"S01000467",96184.7368421053
"S01000468",214862.068965517
"S01000469",156214.285714286
"S01000470",158390
"S01000471",189883.544303797
"S01000472",96782.6086956522
"S01000473",91616.6666666667
"S01000474",183534.482758621
"S01000475",94210.0571428571
"S01000476",195043.47826087
"S01000477",118695.12195122
"S01000478",98372.7804878049
"S01000479",112491.485714286
"S01000480",129564.102564103
"S01000481",189633.16969697
"S01000482",78514.2857142857
"S01000483",96552.972972973
"S01000484",76400
"S01000485",137350
"S01000486",62129.5454545455
"S01000487",124322.222222222
"S01000488",112940.625
"S01000489",79745.8
"S01000490",102591.549295775
"S01000491",80913.2857142857
"S01000492",87717.1052631579
"S01000493",134377.192982456
"S01000494",100767.5
"S01000495",168926.829268293
"S01000496",155840
"S01000497",144436.363636364
"S01000498",163000
"S01000499",172905.405405405
"S01000500",101100
"S01000501",129362.5
"S01000502",210322.580645161
"S01000503",178443.227272727
"S01000504",104815.789473684
"S01000505",169660.972972973
"S01000506",193479.207920792
"S01000507",100992.063492063
"S01000508",199604.272727273
"S01000509",126475.833333333
"S01000510",110007.575757576
"S01000511",149905.172413793
"S01000512",144517.24137931
"S01000513",127206.909090909
"S01000514",212528.846153846
"S01000515",231230.769230769
"S01000516",196214.285714286
"S01000517",132807.692307692
"S01000518",111173.731343284
"S01000519",227200
"S01000520",156090.909090909
"S01000521",87166.6666666667
"S01000522",165511.363636364
"S01000523",118107.142857143
"S01000524",169142.708333333
"S01000525",165658.030769231
"S01000526",212250
"S01000527",200648.484848485
"S01000528",191828.571428571
"S01000529",181197.916666667
"S01000530",189580.769230769
"S01000531",132514.705882353
"S01000532",216170.476190476
"S01000533",117916.666666667
"S01000534",102914.285714286
"S01000535",106881.578947368
"S01000536",136480
"S01000537",175192.933333333
"S01000538",116482.75862069
"S01000539",94500.8356164384
"S01000540",112910.72
"S01000541",112003.947368421
"S01000542",91433.52
"S01000543",116540
"S01000544",102826.086956522
"S01000545",90870.5357142857
"S01000546",133466.666666667
"S01000547",98366.2790697674
"S01000548",140616.438356164
"S01000549",185978.358208955
"S01000550",193404.761904762
"S01000551",124343.75
"S01000552",216539.130434783
"S01000553",122494.340425532
"S01000554",83300
"S01000555",109545.454545455
"S01000556",88365
"S01000557",102321.428571429
"S01000558",122378.095238095
"S01000559",91086.9565217391
"S01000560",96918.3673469388
"S01000561",94806.8181818182
"S01000562",90164.7058823529
"S01000563",64922.2716049383
"S01000564",80333.3333333333
"S01000565",115578.285714286
"S01000566",91436.0465116279
"S01000567",78284.2903225807
"S01000568",104220
"S01000569",163077.894736842
"S01000570",152580.96969697
"S01000571",112534.88372093
"S01000572",142362.068965517
"S01000573",186466.666666667
"S01000574",138472.222222222
"S01000575",159217.391304348
"S01000576",178671.428571429
"S01000577",168268.888888889
"S01000578",144937.5
"S01000579",194936.170212766
"S01000580",243750
"S01000581",159622.538461538
"S01000582",109740.577777778
"S01000583",145389.705882353
"S01000584",126452.579710145
"S01000585",148890.476190476
"S01000586",132044.444444444
"S01000587",109555.555555556
"S01000588",136430.791666667
"S01000589",146507.575757576
"S01000590",183338.890909091
"S01000591",194636.484848485
"S01000592",140140.555555556
"S01000593",194740.785123967
"S01000594",230921.875
"S01000595",166913.043478261
"S01000596",153729.72972973
"S01000597",155684.210526316
"S01000598",215674.3359375
"S01000599",191466.666666667
"S01000600",156078.431372549
"S01000601",257057.028985507
"S01000602",176540
"S01000603",210230.964912281
"S01000604",177632.352941176
"S01000605",175225.638297872
"S01000606",93643.7254901961
"S01000607",164916.666666667
"S01000608",91750
"S01000609",95083.3333333333
"S01000610",74555.2105263158
"S01000611",77906.25
"S01000612",78331.8181818182
"S01000613",119791.666666667
"S01000614",113706.862068966
"S01000615",150534.88372093
"S01000616",185925.925925926
"S01000617",131303.571428571
"S01000618",147524.242424242
"S01000619",142344.444444444
"S01000620",107840.625
"S01000621",97650
"S01000622",89527.7777777778
"S01000623",99187.5
"S01000624",86154.2857142857
"S01000625",59394.7368421053
"S01000626",81922.5263157895
"S01000627",93361.7021276596
"S01000628",86000
"S01000629",164059.444444444
"S01000630",107284.375
"S01000631",83965
"S01000632",209269.6
"S01000633",122129.032258065
"S01000634",97040
"S01000635",111153.846153846
"S01000636",158500
"S01000637",206650
"S01000638",263895.348837209
"S01000639",181433.333333333
"S01000640",210333.333333333
"S01000641",174441.176470588
"S01000642",174657.290322581
"S01000643",177338.461538462
"S01000644",160635.416666667
"S01000645",164901.960784314
"S01000646",168250
"S01000647",97195.8064516129
"S01000648",82000
"S01000649",218000
"S01000650",104692.307692308
"S01000651",133646.153846154
"S01000652",128062.5
"S01000653",88196.0784313725
"S01000654",91425
"S01000655",84052
"S01000656",105884.893617021
"S01000657",88843.75
"S01000658",85294.1176470588
"S01000659",139236.9625
"S01000660",178459.764705882
"S01000661",92884.5454545455
"S01000662",224854.166666667
"S01000663",125596.590909091
"S01000664",160817.073170732
"S01000665",128996.774193548
"S01000666",170634.615384615
"S01000667",111957.265625
"S01000668",84892.4285714286
"S01000669",105211.538461538
"S01000670",156540.983606557
"S01000671",136593.75
"S01000672",191880.434782609
"S01000673",145000
"S01000674",106777.87654321
"S01000675",165676.829268293
"S01000676",166158.444444444
"S01000677",121411.764705882
"S01000678",125896.428571429
"S01000679",82858.3333333333
"S01000680",106577.2
"S01000681",86901.9607843137
"S01000682",90134.8314606742
"S01000683",77113.3090909091
"S01000684",79542.3728813559
"S01000685",121823.698630137
"S01000686",82172.4137931034
"S01000687",101421.875
"S01000688",134533
"S01000689",231526.315789474
"S01000690",160397.402597403
"S01000691",126207.058823529
"S01000692",99233.8333333333
"S01000693",70142.8571428571
"S01000694",103614.285714286
"S01000695",79430
"S01000696",77920.8860759494
"S01000697",191255.681818182
"S01000698",86166.9230769231
"S01000699",90147.7272727273
"S01000700",133658.333333333
"S01000701",206161.75
"S01000702",125766.666666667
"S01000703",84230.7692307692
"S01000704",217302.325581395
"S01000705",191605.633802817
"S01000706",182162.162162162
"S01000707",209802.884615385
"S01000708",256789
"S01000709",199032.177419355
"S01000710",218325.925
"S01000711",152442.307692308
"S01000712",116029.411764706
"S01000713",87722.2222222222
"S01000714",93630.9523809524
"S01000715",70660.2777777778
"S01000716",37815.3846153846
"S01000717",54325.0769230769
"S01000718",62401.1666666667
"S01000719",154200
"S01000720",118711.782608696
"S01000721",152783.555555556
"S01000722",106839.111111111
"S01000723",153513.777777778
"S01000724",94006.1875
"S01000725",142496.078431373
"S01000726",141885.714285714
"S01000727",86350
"S01000728",135342.105263158
"S01000729",101800
"S01000730",101187.5
"S01000731",78266.6666666667
"S01000732",71695.652173913
"S01000733",58250
"S01000734",176813.253012048
"S01000735",104677.777777778
"S01000736",79837.3417721519
"S01000737",74550
"S01000738",103115.714285714
"S01000739",79000
"S01000740",143995.689655172
"S01000741",127493.421052632
"S01000742",224531.25
"S01000743",149990.961538462
"S01000744",94562.5
"S01000745",111275.862068966
"S01000746",92607.8431372549
"S01000747",83714.2857142857
"S01000748",93409.3636363636
"S01000749",92125
"S01000750",172135.869565217
"S01000751",173965.11627907
"S01000752",79671
"S01000753",108427.5
"S01000754",94198.4126984127
"S01000755",150686.258064516
"S01000756",124202.380952381
"S01000757",157095.588235294
"S01000758",218325
"S01000759",118017.24137931
"S01000760",164733.333333333
"S01000761",175642.857142857
"S01000762",160921.888888889
"S01000763",238357.142857143
"S01000764",161826.530612245
"S01000765",197571.428571429
"S01000766",108640.350877193
"S01000767",109318.181818182
"S01000768",85949.64
"S01000769",83836.2068965517
"S01000770",74481.7777777778
"S01000771",178829.268292683
"S01000772",116776.051948052
"S01000773",160833.392857143
"S01000774",99703.7037037037
"S01000775",218580.434782609
"S01000776",218714.285714286
"S01000777",0
"S01000778",241479.310344828
"S01000779",122179.66
"S01000780",87263.8888888889
"S01000781",249114.655172414
"S01000782",217378.787878788
"S01000783",132836.363636364
"S01000784",280046.296296296
"S01000785",144675.438596491
"S01000786",155754.716981132
"S01000787",158291.294117647
"S01000788",190764.150943396
"S01000789",120525
"S01000790",361000
"S01000791",123852.941176471
"S01000792",196990.916666667
"S01000793",95971.2
"S01000794",91186.4406779661
"S01000795",121104.838709677
"S01000796",267614.285714286
"S01000797",100058.823529412
"S01000798",84500
"S01000799",174125
"S01000800",166339.08045977
"S01000801",174647.727272727
"S01000802",151130
"S01000803",172230.655172414
"S01000804",184236.26
"S01000805",164908.181818182
"S01000806",158756.278688525
"S01000807",155903.225806452
"S01000808",140500
"S01000809",152755.863636364
"S01000810",236818.484848485
"S01000811",220272.727272727
"S01000812",155982.456140351
"S01000813",174020.731707317
"S01000814",79038.4615384615
"S01000815",88833.3333333333
"S01000816",106063.492063492
"S01000817",120108.695652174
"S01000818",126231.958762887
"S01000819",146001.891891892
"S01000820",171736.428571429
"S01000821",113627.906976744
"S01000822",99671.0526315789
"S01000823",94240
"S01000824",146656.25
"S01000825",273220
"S01000826",125047.619047619
"S01000827",209807.291666667
"S01000828",179560.975609756
"S01000829",231832.352941176
"S01000830",231781.25
"S01000831",135686.083333333
"S01000832",154491.525423729
"S01000833",196140.088888889
