"datazone","avg_median_price"
"S01000001",126795.698924731
"S01000002",160614.406779661
"S01000003",132246.385135135
"S01000004",135556.367924528
"S01000005",128441.860465116
"S01000006",148143.396226415
"S01000007",233802.875
"S01000008",126238.75
"S01000009",183752.521126761
"S01000010",124147.4
"S01000011",336292.879310345
"S01000012",225588.003831418
"S01000013",165254.385964912
"S01000014",138494.37037037
"S01000015",129746.40625
"S01000016",414602.461538462
"S01000017",136948.953271028
"S01000018",122427.026666667
"S01000019",235138.888888889
"S01000020",161125.545454545
"S01000021",133450.549450549
"S01000022",400425.287356322
"S01000023",288871.428571429
"S01000024",349460.609756098
"S01000025",363979.176470588
"S01000026",100389.552238806
"S01000027",269177.083333333
"S01000028",123091.758064516
"S01000029",418022.727272727
"S01000030",103108.333333333
"S01000031",227119.047619048
"S01000032",122980.98630137
"S01000033",89910.6481481481
"S01000034",398843.668639053
"S01000035",119028.87755102
"S01000036",132833.230769231
"S01000037",111635.793814433
"S01000038",122283.783783784
"S01000039",111480.327272727
"S01000040",130176.470588235
"S01000041",143678.630136986
"S01000042",120723.888888889
"S01000043",109365.97260274
"S01000044",114740.697674419
"S01000045",243087.2
"S01000046",275894.505154639
"S01000047",118151.116751269
"S01000048",209280.133858268
"S01000049",251468.35443038
"S01000050",205462.302631579
"S01000051",219371.76119403
"S01000052",93043.75
"S01000053",166624.41314554
"S01000054",251688.461538462
"S01000055",125456.833333333
"S01000056",293269.691358025
"S01000057",91900
"S01000058",274050.427350427
"S01000059",248127.946601942
"S01000060",60820.5
"S01000061",210852.775
"S01000062",115543.073260073
"S01000063",252558.916666667
"S01000064",105641.292307692
"S01000065",130731.478873239
"S01000066",69388.0239520958
"S01000067",204716.721030043
"S01000068",199947.50310559
"S01000069",72120.9090909091
"S01000070",102279.411764706
"S01000071",81706.5217391304
"S01000072",269483.046875
"S01000073",309285.05
"S01000074",74092.4
"S01000075",137275.25210084
"S01000076",254756.56
"S01000077",218152.305555556
"S01000078",65824.2857142857
"S01000079",153277.217821782
"S01000080",118103.271028037
"S01000081",282767.797101449
"S01000082",82797.2884615385
"S01000083",177981.640243902
"S01000084",73926.8793969849
"S01000085",96900.4644549763
"S01000086",128617.721518987
"S01000087",271979.496350365
"S01000088",160617.004464286
"S01000089",319538.776315789
"S01000090",127353.256637168
"S01000091",109620.142394822
"S01000092",111237.167155425
"S01000093",171071.00591716
"S01000094",134825.175438596
"S01000095",120412.864864865
"S01000096",180824.561403509
"S01000097",300835.714285714
"S01000098",109992.891246684
"S01000099",323291.815533981
"S01000100",130913.595348837
"S01000101",209220.029069767
"S01000102",110085.034013605
"S01000103",127018.014150943
"S01000104",370004.184615385
"S01000105",184572.64957265
"S01000106",367433.628318584
"S01000107",100413.866171004
"S01000108",140388.87434555
"S01000109",117232.2
"S01000110",282783.76119403
"S01000111",203687.675862069
"S01000112",109347.881081081
"S01000113",235048.093457944
"S01000114",137751.824817518
"S01000115",96860.3076923077
"S01000116",102491.493670886
"S01000117",238190.211764706
"S01000118",170370.31
"S01000119",105825.55
"S01000120",101747.126436782
"S01000121",235889.054545455
"S01000122",105122.80952381
"S01000123",210866.666666667
"S01000124",93450.9191176471
"S01000125",111066.690909091
"S01000126",85826.9035532995
"S01000127",267976.767676768
"S01000128",113049.43776824
"S01000129",96050.5555555556
"S01000130",144132.688391039
"S01000131",116048.523809524
"S01000132",131754.947643979
"S01000133",99375
"S01000134",99771.4285714286
"S01000135",94397.1914893617
"S01000136",108854.824561404
"S01000137",125990.067567568
"S01000138",122917.630057803
"S01000139",113910.039215686
"S01000140",128178.983050847
"S01000141",210308.181818182
"S01000142",95814.2857142857
"S01000143",275332.8125
"S01000144",102525.915708812
"S01000145",110666.666666667
"S01000146",94666.698630137
"S01000147",137908.558073654
"S01000148",94967.5
"S01000149",99709.0725806452
"S01000150",106416.666666667
"S01000151",98911.4545454545
"S01000152",172680.979591837
"S01000153",136247.838235294
"S01000154",120000.814814815
"S01000155",111182.692307692
"S01000156",82189.754601227
"S01000157",81807.1111111111
"S01000158",125719.826086957
"S01000159",199559.437086093
"S01000160",112548.255813953
"S01000161",132992.36453202
"S01000162",129485.027272727
"S01000163",108109.710144928
"S01000164",95880.4166666667
"S01000165",102997.263636364
"S01000166",111333.017857143
"S01000167",121219.018181818
"S01000168",113229.591836735
"S01000169",133910.517241379
"S01000170",102544.564593301
"S01000171",205685.279187817
"S01000172",94901.6949152542
"S01000173",104955.08
"S01000174",258623.362068966
"S01000175",104422.690909091
"S01000176",110980.429530201
"S01000177",152966.857142857
"S01000178",107947.368421053
"S01000179",77036.7692307692
"S01000180",111458.046511628
"S01000181",96948.25
"S01000182",108591.836734694
"S01000183",86013.1884057971
"S01000184",175402.648648649
"S01000185",129600
"S01000186",141279.933333333
"S01000187",106968.3125
"S01000188",85616.7121212121
"S01000189",89267.2413793103
"S01000190",110091.746031746
"S01000191",208802.97029703
"S01000192",103872.35483871
"S01000193",105448.363636364
"S01000194",85598.0138888889
"S01000195",87538.8888888889
"S01000196",103811.090909091
"S01000197",98344.5
"S01000198",97993.8666666667
"S01000199",73181.4615384615
"S01000200",99900.3018867925
"S01000201",95071.0493827161
"S01000202",100817.641176471
"S01000203",51624.8571428571
"S01000204",96555.2962962963
"S01000205",148526.315789474
"S01000206",107936.170212766
"S01000207",61409.0909090909
"S01000208",70777.7777777778
"S01000209",71439.0344827586
"S01000210",70543.2098765432
"S01000211",63473.6842105263
"S01000212",101753.442622951
"S01000213",90561.4035087719
"S01000214",126727.272727273
"S01000215",249382.653061224
"S01000216",126543.956043956
"S01000217",85760.8695652174
"S01000218",123827.272727273
"S01000219",95870.5882352941
"S01000220",110449.2
"S01000221",94354.9382716049
"S01000222",124728.153846154
"S01000223",120515.590551181
"S01000224",137423.615384615
"S01000225",145640.350877193
"S01000226",137612.469565217
"S01000227",181709.96031746
"S01000228",96980.6285714286
"S01000229",103404.411764706
"S01000230",120082.631578947
"S01000231",105834.862385321
"S01000232",127349.285714286
"S01000233",109445.555555556
"S01000234",114970.58
"S01000235",138500
"S01000236",164743.58974359
"S01000237",173130
"S01000238",113386.166666667
"S01000239",163354.166666667
"S01000240",147395.338983051
"S01000241",253576.881355932
"S01000242",154199.094017094
"S01000243",178374.608695652
"S01000244",115504.333333333
"S01000245",151571.904255319
"S01000246",159097.262295082
"S01000247",171425
"S01000248",146458.76
"S01000249",176322.672131148
"S01000250",192419.827586207
"S01000251",184569.444444444
"S01000252",126559.395833333
"S01000253",183961.111111111
"S01000254",153210.66
"S01000255",105789.168067227
"S01000256",158174.030769231
"S01000257",167431.451612903
"S01000258",142884.8
"S01000259",167714.476190476
"S01000260",148435.880829016
"S01000261",142459.065934066
"S01000262",160891.316455696
"S01000263",166260.842105263
"S01000264",120977.777777778
"S01000265",113481.794117647
"S01000266",212396.52173913
"S01000267",119357.576923077
"S01000268",142559.090909091
"S01000269",202991.379310345
"S01000270",175501.011494253
"S01000271",159584.905660377
"S01000272",164237.5
"S01000273",94243.5897435897
"S01000274",122626.582278481
"S01000275",186490.3125
"S01000276",227645.638297872
"S01000277",159036.444444444
"S01000278",108388.869565217
"S01000279",189170.952380952
"S01000280",204305.894736842
"S01000281",172043.936170213
"S01000282",161086.6
"S01000283",217042.701923077
"S01000284",287115.890756303
"S01000285",209461.703703704
"S01000286",120756.263513514
"S01000287",213765.84
"S01000288",147701.948051948
"S01000289",120855
"S01000290",122736.596153846
"S01000291",257184.615384615
"S01000292",191644.210526316
"S01000293",126744.205479452
"S01000294",194400
"S01000295",184818.571428571
"S01000296",214066.547619048
"S01000297",187556.853658537
"S01000298",210740
"S01000299",289579.646017699
"S01000300",267978.529411765
"S01000301",202901.954545455
"S01000302",334943.064516129
"S01000303",250501.142857143
"S01000304",211167.340659341
"S01000305",154709.074074074
"S01000306",281449.152
"S01000307",165025.966942149
"S01000308",232946.13
"S01000309",303245.283018868
"S01000310",160415.218181818
"S01000311",143098.720930233
"S01000312",187833.424657534
"S01000313",173259.223880597
"S01000314",127842.465753425
"S01000315",246467.741935484
"S01000316",195856.483516484
"S01000317",146113.486486486
"S01000318",247833.904761905
"S01000319",160382.02247191
"S01000320",118048.143939394
"S01000321",234055.520833333
"S01000322",236262.195121951
"S01000323",236391.803278689
"S01000324",170360
"S01000325",235854.948356808
"S01000326",144961.74137931
"S01000327",171255.03125
"S01000328",127777.083333333
"S01000329",190764.762962963
"S01000330",309201.015267176
"S01000331",210359.266666667
"S01000332",225430.627272727
"S01000333",442808.219178082
"S01000334",147249.340659341
"S01000335",210131.436619718
"S01000336",295944.511450382
"S01000337",259161.290322581
"S01000338",241163.28
"S01000339",264517.857142857
"S01000340",309833.75
"S01000341",204650
"S01000342",151096.153846154
"S01000343",286357.142857143
"S01000344",218619.072289157
"S01000345",163333.333333333
"S01000346",178701.055555556
"S01000347",271779.635983264
"S01000348",158351.135416667
"S01000349",157287.169230769
"S01000350",242540.754385965
"S01000351",166535.597122302
"S01000352",181946.714285714
"S01000353",171800
"S01000354",236812.43902439
"S01000355",188835.808823529
"S01000356",240081.967213115
"S01000357",170741.916666667
"S01000358",206967.866666667
"S01000359",314119.545454545
"S01000360",181648.488372093
"S01000361",276444.279069767
"S01000362",170602.072289157
"S01000363",242946
"S01000364",235964.285714286
"S01000365",218864.227699531
"S01000366",213989.651917404
"S01000367",222557.417582418
"S01000368",201027.443609023
"S01000369",157775.442622951
"S01000370",197981.728395062
"S01000371",188543.47826087
"S01000372",158846.846846847
"S01000373",171066.06741573
"S01000374",166698.412698413
"S01000375",122956.603773585
"S01000376",117738.048780488
"S01000377",212634.360465116
"S01000378",188826.086956522
"S01000379",247069.736842105
"S01000380",212795.754716981
"S01000381",196444.393939394
"S01000382",250756.097560976
"S01000383",226750.069364162
"S01000384",170990.673076923
"S01000385",132734.734177215
"S01000386",187726.95035461
"S01000387",183653.846153846
"S01000388",224149.9453125
"S01000389",192931.416058394
"S01000390",118767.441860465
"S01000391",135656.961832061
"S01000392",197053.694214876
"S01000393",211984.551724138
"S01000394",140605.614035088
"S01000395",203670
"S01000396",130447.931034483
"S01000397",162440.131147541
"S01000398",260886.095149254
"S01000399",103948.755555556
"S01000400",140221.238938053
"S01000401",235422.222222222
"S01000402",138349.318181818
"S01000403",125712.745098039
"S01000404",142835.164835165
"S01000405",284233.333333333
"S01000406",111494.641304348
"S01000407",116730
"S01000408",172024.036363636
