"datazone","median_price","number_of_sales"
"S01000092",130000,27
"S01000093",160000,15
"S01000094",160864,21
"S01000095",135000,28
"S01000096",220500,4
"S01000097",430000,32
"S01000098",120000,50
"S01000099",407183,15
"S01000100",146667,19
"S01000101",258500,20
"S01000102",140000,15
"S01000103",157288,22
"S01000104",459000,12
"S01000105",210000,13
"S01000106",520000,12
"S01000107",126000,24
"S01000108",140000,11
"S01000109",122322,25
"S01000110",3e+05,11
"S01000111",225000,21
"S01000112",121500,28
"S01000113",245000,16
"S01000114",136250,12
"S01000115",109250,12
"S01000116",113000,47
"S01000117",247500,24
"S01000118",190000,11
"S01000119",137395,18
"S01000120",130000,15
"S01000121",363140,10
"S01000122",141250,7
"S01000123",196000,15
"S01000124",113000,23
"S01000125",121000,7
"S01000126",112500,25
"S01000127",292000,15
"S01000128",219500,40
"S01000129",116000,14
"S01000130",173750,52
"S01000131",135000,15
"S01000132",171500,22
"S01000133",120000,7
"S01000134",122500,9
"S01000135",122000,6
"S01000136",125000,7
"S01000137",150000,30
"S01000138",101250,20
"S01000139",132000,7
"S01000140",157000,7
"S01000141",270000,13
"S01000142",123500,4
"S01000143",362500,2
"S01000144",114500,16
"S01000145",140000,8
"S01000146",123000,43
"S01000147",121500,32
"S01000148",92000,5
"S01000149",105000,37
"S01000150",125000,7
"S01000151",102800,7
"S01000152",196500,22
"S01000153",169250,32
"S01000154",142120,6
"S01000155",130000,9
"S01000156",90000,15
"S01000157",69500,12
"S01000158",130000,9
"S01000159",230000,25
"S01000160",121000,8
"S01000161",160000,27
"S01000162",104564,12
"S01000163",115000,11
"S01000164",95000,7
"S01000165",113000,17
"S01000166",119000,35
"S01000167",155000,8
"S01000168",130000,5
"S01000169",161375,6
"S01000170",118500,30
"S01000171",245000,31
"S01000172",105000,5
"S01000173",107250,8
"S01000174",311750,14
"S01000175",140750,12
"S01000176",121203,16
"S01000177",140000,14
"S01000178",132500,6
"S01000179",40000,1
"S01000180",122000,5
"S01000181",117500,3
"S01000182",120000,9
"S01000183",106785,12
"S01000184",208000,13
"S01000185",151250,12
"S01000186",185000,10
"S01000187",117000,4
"S01000188",87400,6
"S01000189",119000,3
"S01000190",121125,8
"S01000191",190000,31
"S01000192",97000,10
"S01000193",114050,4
"S01000194",90500,6
"S01000195",90000,5
"S01000196",119500,5
"S01000197",110000,2
"S01000198",129000,2
"S01000199",68000,5
"S01000200",113000,18
"S01000201",114000,10
"S01000202",113000,21
"S01000204",120777,9
"S01000205",115000,4
"S01000206",118000,3
"S01000207",82500,4
"S01000208",70500,4
"S01000209",76500,3
"S01000210",85000,5
"S01000211",80000,2
"S01000212",117500,14
"S01000213",93000,8
"S01000214",138000,3
"S01000215",296500,13
"S01000216",150000,7
"S01000217",112000,3
"S01000218",138750,12
"S01000219",103000,1
"S01000220",92000,9
"S01000221",115000,20
"S01000222",119000,11
"S01000223",136500,12
"S01000224",154000,5
"S01000225",171500,10
"S01000226",173600,20
"S01000227",237500,34
"S01000228",105125,28
"S01000229",126000,11
"S01000230",130250,13
"S01000231",131000,12
"S01000232",147500,5
"S01000233",140000,7
"S01000234",162750,16
"S01000235",171000,12
"S01000236",210000,3
"S01000237",180000,7
"S01000238",105000,13
"S01000239",175000,5
"S01000240",136125,5
"S01000241",269500,8
"S01000242",157562,12
"S01000243",193821,6
"S01000244",147250,20
"S01000245",162537,7
"S01000246",178000,11
"S01000247",182500,6
"S01000248",143750,20
"S01000249",195000,9
"S01000250",226250,8
"S01000251",248500,1
"S01000252",150000,20
"S01000253",204000,6
"S01000254",170500,10
"S01000255",118625,17
"S01000256",177500,10
"S01000257",191500,16
"S01000258",169000,12
"S01000259",215000,14
"S01000260",176000,22
"S01000261",191750,16
"S01000262",203750,12
"S01000263",177590,14
"S01000264",140000,15
"S01000265",145500,9
"S01000266",215000,9
"S01000267",113750,6
"S01000268",137500,10
"S01000269",211500,6
"S01000270",190000,11
"S01000271",2e+05,17
"S01000272",173225,8
"S01000273",115000,21
"S01000274",181000,6
"S01000275",189975,34
"S01000276",210000,11
"S01000277",149000,9
"S01000278",99000,5
"S01000279",212500,10
"S01000280",202475,6
"S01000281",231521,15
"S01000282",152000,11
"S01000283",230000,14
"S01000284",359998,28
"S01000285",225000,7
"S01000286",139950,21
"S01000287",351905,10
"S01000288",160000,14
"S01000289",135000,13
"S01000290",142000,7
"S01000291",317500,10
"S01000292",2e+05,11
"S01000293",165000,14
"S01000294",198000,7
"S01000295",211500,6
"S01000296",195000,17
"S01000297",173500,6
"S01000298",252500,16
"S01000299",350750,18
"S01000300",352500,4
"S01000301",265000,7
"S01000302",305000,4
"S01000303",262500,4
"S01000304",249000,11
"S01000305",178500,6
"S01000306",362063,8
"S01000307",179375,18
"S01000308",197500,8
"S01000309",330000,20
"S01000310",187000,7
"S01000311",139000,15
"S01000312",222000,11
"S01000313",195000,11
"S01000314",170000,5
"S01000315",290000,9
"S01000316",198795,12
"S01000317",212500,4
"S01000318",330000,4
"S01000319",158000,11
"S01000320",148500,17
"S01000321",250000,5
"S01000322",287500,15
"S01000323",228000,15
"S01000324",186000,12
"S01000325",227500,24
"S01000326",150000,11
"S01000327",192000,7
"S01000328",132500,10
"S01000329",220495,30
"S01000330",260000,25
"S01000331",147050,5
"S01000332",240000,21
"S01000333",285000,9
"S01000334",171160,9
"S01000335",240000,11
"S01000336",292995,24
"S01000337",275000,8
"S01000338",376166,3
"S01000339",377500,14
"S01000340",351520,13
"S01000341",180000,3
"S01000342",125000,8
"S01000343",313500,6
"S01000344",236000,9
"S01000345",175000,26
"S01000346",207000,14
"S01000347",291309,36
"S01000348",185250,36
"S01000349",155000,26
"S01000350",312579,16
"S01000351",166528,32
"S01000352",228222,22
"S01000353",220000,21
"S01000354",214495,62
"S01000355",215000,22
"S01000356",275750,11
"S01000357",201250,16
"S01000358",270000,22
"S01000359",350000,9
"S01000360",185000,6
"S01000361",325000,9
"S01000362",235000,11
"S01000363",282500,10
"S01000364",264975,8
"S01000365",240000,48
"S01000366",248500,24
"S01000367",222000,11
"S01000368",195000,15
"S01000369",194194,8
"S01000370",225000,16
"S01000371",175000,9
"S01000372",188995,17
"S01000373",249000,13
"S01000374",170000,9
"S01000375",124750,8
"S01000376",123000,5
"S01000377",124995,14
"S01000378",225000,2
"S01000379",264500,10
"S01000380",249950,11
"S01000381",225000,21
"S01000382",217500,6
"S01000383",222500,30
"S01000384",158500,8
"S01000385",150000,8
"S01000386",188750,14
"S01000387",182000,13
"S01000388",215000,11
"S01000389",212000,13
"S01000390",137500,14
