"datazone","median_price","number_of_sales"
"S01001276",126500,8
"S01001277",49750,2
"S01001278",265000,3
"S01001279",85000,1
"S01001280",58500,4
"S01001281",62000,5
"S01001283",84000,7
"S01001284",96000,13
"S01001285",45000,3
"S01001286",95000,3
"S01001287",42250,3
"S01001288",80000,5
"S01001289",59500,7
"S01001290",106250,4
"S01001292",52475,4
"S01001293",69500,12
"S01001294",51000,5
"S01001295",60000,3
"S01001296",49000,5
"S01001297",103500,2
"S01001298",79250,12
"S01001299",77750,2
"S01001300",133750,10
"S01001301",78500,1
"S01001302",176500,5
"S01001303",84000,5
"S01001304",140000,14
"S01001305",93000,5
"S01001306",92500,7
"S01001307",75000,10
"S01001308",70000,4
"S01001309",24000,1
"S01001310",89000,2
"S01001311",67000,4
"S01001312",54000,5
"S01001313",44000,14
"S01001314",127500,10
"S01001315",136500,10
"S01001316",70000,2
"S01001317",73873,4
"S01001318",102000,4
"S01001319",72000,3
"S01001320",65750,4
"S01001321",122500,2
"S01001322",190000,11
"S01001323",87000,2
"S01001324",60575,1
"S01001325",63250,4
"S01001326",72000,5
"S01001327",80000,4
"S01001328",88000,3
"S01001329",61000,7
"S01001330",113500,7
"S01001331",76750,6
"S01001332",62000,1
"S01001333",61000,6
"S01001335",66000,11
"S01001336",84750,4
"S01001337",98000,4
"S01001339",86000,5
"S01001340",75000,3
"S01001341",55000,3
"S01001342",103000,10
"S01001343",68000,6
"S01001344",85000,3
"S01001345",65000,5
"S01001346",115000,9
"S01001347",154000,7
"S01001348",87843,10
"S01001349",280000,7
"S01001350",42500,5
"S01001351",75000,3
"S01001352",115000,13
"S01001353",190495,41
"S01001354",82000,9
"S01001355",85000,5
"S01001356",112500,8
"S01001357",55750,8
"S01001358",113500,10
"S01001359",192500,6
"S01001360",123498,10
"S01001361",116750,6
"S01001362",117500,8
"S01001363",66250,12
"S01001364",60000,9
"S01001365",84375,4
"S01001366",167625,8
"S01001367",85000,11
"S01001368",202350,4
"S01001369",54000,5
"S01001370",101000,13
"S01001371",78750,8
"S01001372",100400,6
"S01001373",125000,3
"S01001374",152500,3
"S01001375",98000,5
"S01001376",60000,5
"S01001377",67875,4
"S01001378",134348,6
"S01001379",65000,7
"S01001380",71000,13
"S01001381",98000,4
"S01001382",56750,8
"S01001383",90500,5
"S01001384",75000,5
"S01001385",68000,7
"S01001386",83000,7
"S01001387",83500,8
"S01001388",88895,7
"S01001390",95000,9
"S01001391",65995,1
"S01001392",77500,2
"S01001393",167500,4
"S01001394",41750,2
"S01001395",116750,2
"S01001396",78000,9
"S01001397",60000,2
"S01001398",121000,8
"S01001399",70000,1
"S01001400",58500,6
"S01001401",67000,3
"S01001402",115000,3
"S01001403",153500,14
"S01001404",113000,5
"S01001405",162000,11
"S01001406",170000,31
"S01001407",155000,4
"S01001408",67000,5
"S01001409",106750,6
"S01001410",199995,11
"S01001411",205000,5
"S01001412",73343,2
"S01001413",185000,17
"S01001414",69500,3
"S01001415",85000,11
"S01001416",89250,6
"S01001417",103000,9
"S01001418",123500,6
"S01001419",76050,5
"S01001420",305000,13
"S01001421",195000,9
"S01001422",250000,7
"S01001423",105275,6
"S01001424",96000,10
"S01001425",152000,11
"S01001426",140000,5
"S01001427",140000,11
"S01001428",95000,7
"S01001429",115000,11
"S01001430",210000,10
"S01001431",155000,5
"S01001432",161000,8
"S01001433",171500,4
"S01001434",80000,7
"S01001435",165900,10
"S01001436",288333,14
"S01001437",174500,6
"S01001438",349000,4
"S01001439",167500,3
"S01001440",140000,7
"S01001441",160250,12
"S01001442",162500,4
"S01001443",136000,15
"S01001444",141000,5
"S01001445",202500,11
"S01001446",211250,8
"S01001447",210000,19
"S01001448",137500,6
"S01001449",471000,7
"S01001450",164000,7
"S01001451",256500,6
"S01001452",256043,6
"S01001453",210000,6
"S01001454",385000,8
"S01001455",180000,9
"S01001456",249950,19
"S01001457",281500,10
"S01001458",132000,9
"S01001459",283641,8
"S01001460",163498,6
"S01001461",241500,2
"S01001462",235000,11
"S01001463",162501,10
"S01001464",145000,17
"S01001465",265000,13
"S01001466",235500,4
"S01001467",207000,5
"S01001468",347500,4
"S01001469",262051,6
"S01001470",570050,8
"S01001471",405000,9
"S01001472",185000,9
"S01001473",430000,13
"S01001474",143000,13
"S01001475",230000,11
"S01001476",2e+05,11
"S01001477",155000,11
"S01001478",250000,12
"S01001479",152500,8
"S01001480",187125,4
"S01001481",182889,13
"S01001482",122500,4
"S01001483",580000,19
"S01001484",263000,15
"S01001485",115000,1
"S01001486",215500,19
"S01001487",105500,6
"S01001488",148512,12
"S01001489",148500,7
"S01001490",95000,9
"S01001491",246185,13
"S01001492",90000,14
"S01001493",151000,1
"S01001494",117750,12
"S01001495",250000,11
"S01001496",249000,22
"S01001497",76100,16
"S01001498",194591,6
"S01001499",2e+05,11
"S01001500",140000,3
"S01001501",247500,11
"S01001502",140125,4
"S01001503",145000,9
"S01001504",84950,13
"S01001505",206000,14
"S01001506",96000,10
"S01001507",268000,3
"S01001508",222500,6
"S01001509",100500,4
"S01001510",120000,8
"S01001511",360000,4
"S01001512",73000,3
"S01001513",69750,6
"S01001514",101000,6
"S01001515",232500,7
"S01001516",89998,11
"S01001517",90631,26
"S01001518",119500,10
"S01001519",220118,15
"S01001520",96000,4
"S01001521",105000,17
"S01001522",101500,8
"S01001523",220000,13
"S01001524",85000,13
"S01001525",135100,4
"S01001526",145000,9
"S01001527",150000,9
"S01001528",195000,7
"S01001529",214050,16
"S01001530",110000,7
"S01001531",111000,18
"S01001532",370500,10
"S01001533",355000,15
"S01001534",177250,10
"S01001535",125000,7
"S01001536",75000,4
"S01001538",215000,7
"S01001539",112500,12
"S01001540",336500,6
"S01001541",110000,11
"S01001542",120000,7
"S01001543",140000,7
"S01001544",125000,3
"S01001545",140500,10
"S01001546",116000,7
"S01001547",104000,4
"S01001548",155000,11
"S01001549",156356,27
"S01001550",290000,9
"S01001551",284500,3
"S01001552",126500,4
"S01001553",340000,15
"S01001554",198000,11
"S01001555",174000,3
"S01001556",136750,6
"S01001557",316000,10
"S01001558",132000,3
"S01001559",163000,1
"S01001560",110000,4
"S01001561",197995,25
"S01001562",149250,30
"S01001563",158000,3
"S01001564",130000,4
"S01001565",141350,10
"S01001566",164000,7
"S01001567",110000,15
"S01001568",150000,9
"S01001569",145000,5
"S01001570",198000,3
"S01001571",91000,4
"S01001572",109250,2
"S01001573",235000,8
"S01001574",137250,4
"S01001575",1e+05,8
"S01001576",125000,4
"S01001577",135000,7
"S01001578",150000,5
"S01001579",153750,2
"S01001580",177500,5
"S01001581",204000,4
"S01001582",135000,7
"S01001583",122500,2
"S01001584",138250,8
"S01001585",120000,7
"S01001586",270000,3
"S01001587",123000,7
"S01001588",110000,3
"S01001589",120000,4
"S01001590",219995,13
"S01001591",111000,3
"S01001592",99998,6
"S01001593",135000,10
"S01001594",128000,11
"S01001595",105000,3
"S01001596",296000,8
"S01001597",135000,7
"S01001598",322250,5
"S01001599",116000,13
"S01001600",115000,18
"S01001601",2e+05,21
"S01001602",224000,10
"S01001603",99500,6
"S01001604",91000,1
"S01001605",132500,5
"S01001606",125000,9
"S01001607",183748,52
"S01001608",125000,9
"S01001609",125000,3
"S01001610",210000,11
"S01001611",407000,11
"S01001612",217500,8
"S01001613",107475,2
"S01001614",125000,13
"S01001615",145500,4
"S01001616",285000,13
"S01001617",120000,1
"S01001618",138850,16
"S01001619",171250,2
"S01001620",145000,7
"S01001621",110000,1
"S01001622",117500,8
"S01001623",135000,5
"S01001624",167000,4
"S01001625",122500,2
"S01001626",162000,13
"S01001627",140000,19
"S01001628",132500,2
"S01001629",171250,4
"S01001630",118500,6
"S01001631",165000,15
"S01001632",182250,2
"S01001633",240000,12
"S01001634",99500,4
"S01001635",125000,3
"S01001636",199000,4
"S01001637",261500,6
"S01001638",122000,7
"S01001639",120000,7
"S01001640",262500,4
"S01001641",274750,18
"S01001642",272250,8
"S01001643",186500,9
"S01001644",240000,15
"S01001645",146250,14
"S01001646",360000,5
"S01001647",119725,12
"S01001648",136500,4
"S01001649",168500,4
"S01001650",158000,11
"S01001651",163750,16
"S01001652",350000,11
"S01001653",173000,3
"S01001654",445000,8
"S01001655",217500,6
"S01001656",170000,25
"S01001657",315000,7
"S01001658",208730,19
"S01001659",250000,15
"S01001660",192000,11
"S01001661",366000,10
"S01001662",170000,8
"S01001663",290000,3
"S01001664",327500,12
"S01001665",310125,27
"S01001666",412500,10
"S01001667",270000,25
"S01001668",545000,33
"S01001669",230000,19
"S01001670",222500,15
"S01001671",183850,4
"S01001672",132500,2
"S01001673",125000,17
"S01001674",123000,7
"S01001675",96000,9
"S01001676",225000,19
"S01001677",340075,11
"S01001678",140000,7
"S01001679",371500,17
"S01001680",314250,10
"S01001681",330000,10
"S01001682",95000,5
"S01001683",305000,7
"S01001684",250000,11
"S01001685",195000,13
"S01001686",330200,3
"S01001687",141000,23
"S01001688",145000,15
"S01001689",330029,6
"S01001690",196000,11
"S01001691",362500,7
"S01001692",160000,8
"S01001693",302500,10
"S01001694",152000,13
"S01001695",192000,15
"S01001696",143500,12
"S01001697",245000,7
"S01001698",125000,5
"S01001699",4e+05,3
"S01001700",379500,18
"S01001701",178250,10
"S01001702",295000,11
"S01001703",140000,17
"S01001704",353510,6
"S01001705",149500,8
"S01001706",238750,12
"S01001707",99100,12
"S01001708",250000,7
"S01001709",162000,5
"S01001710",135250,18
"S01001711",168000,13
"S01001712",91500,2
"S01001713",171127,3
"S01001714",166250,10
"S01001715",195500,8
"S01001716",67000,7
"S01001717",164250,14
"S01001718",250000,9
"S01001719",230550,11
"S01001720",233000,9
"S01001721",183000,16
"S01001722",175883,16
"S01001723",378000,12
"S01001724",75368,8
"S01001725",92500,2
"S01001726",237500,7
"S01001727",163950,22
"S01001728",217000,11
"S01001729",177000,10
"S01001730",234000,6
"S01001731",270045,4
"S01001732",136998,6
"S01001733",177750,12
"S01001734",261400,8
"S01001735",229972,6
"S01001736",610000,9
"S01001737",135000,7
"S01001738",320000,6
"S01001739",122998,8
"S01001740",112500,11
"S01001741",95000,7
"S01001742",98000,15
"S01001743",80500,10
"S01001744",147500,5
"S01001745",147250,12
"S01001746",301000,9
"S01001747",90000,7
"S01001748",253000,9
"S01001749",65000,4
"S01001750",144500,6
"S01001751",61000,7
"S01001752",398000,7
"S01001753",88000,5
"S01001754",340500,12
"S01001755",235000,9
"S01001756",270000,10
"S01001757",119875,6
"S01001758",250000,13
"S01001759",41975,4
"S01001760",164995,13
"S01001761",90000,6
"S01001762",77000,14
"S01001763",318757,8
"S01001764",163998,8
"S01001765",77750,10
"S01001766",402750,3
"S01001767",198500,10
"S01001768",160000,9
"S01001769",181250,8
"S01001770",54750,2
"S01001771",155000,13
"S01001772",155000,9
"S01001773",93500,10
"S01001774",129000,6
"S01001775",247500,18
"S01001776",94500,6
"S01001777",304000,12
"S01001778",76750,8
"S01001779",186750,8
"S01001780",120000,13
"S01001781",223500,8
"S01001782",220163,16
"S01001783",97000,1
"S01001784",147100,11
"S01001785",149500,4
"S01001786",125000,3
"S01001787",185000,5
"S01001788",117000,2
"S01001789",136000,7
"S01001790",179625,12
"S01001791",242250,8
"S01001792",188888,8
"S01001793",174500,13
"S01001794",202222,11
"S01001795",265000,4
"S01001796",460000,5
"S01001797",172500,10
"S01001798",362500,8
"S01001799",143000,4
"S01001800",205000,17
"S01001801",331611,14
"S01001802",131500,14
"S01001803",156500,12
"S01001804",125500,8
"S01001805",173250,6
"S01001806",167500,7
"S01001807",177000,9
"S01001808",196000,2
"S01001809",127500,14
"S01001810",160750,10
"S01001811",318000,9
"S01001812",425000,7
"S01001813",250000,7
"S01001814",280000,3
"S01001815",242500,4
"S01001816",333500,16
"S01001817",117500,7
"S01001818",425000,13
"S01001819",453510,8
"S01001820",112000,3
"S01001821",250000,2
"S01001822",163000,6
"S01001823",95000,5
"S01001824",147500,5
"S01001825",138500,11
"S01001826",107025,2
"S01001827",95000,7
"S01001828",227000,13
"S01001829",148000,11
"S01001830",372500,14
"S01001831",185250,5
"S01001832",120000,8
"S01001833",275000,21
"S01001834",42000,3
"S01001835",266500,2
"S01001836",385000,6
"S01001837",339000,17
"S01001838",86450,7
"S01001839",118750,14
"S01001840",121180,5
"S01001841",137550,8
"S01001842",203000,10
"S01001843",90000,5
"S01001844",217250,8
"S01001845",281123,7
"S01001846",215500,8
"S01001847",115000,3
"S01001848",92500,11
"S01001849",350000,5
"S01001850",135600,7
"S01001851",220000,11
"S01001852",197500,2
"S01001853",288150,4
"S01001854",126938,4
"S01001855",230000,19
"S01001856",125000,6
"S01001857",233750,8
"S01001858",247500,8
"S01001859",135000,8
"S01001860",383427,16
"S01001861",107000,7
"S01001862",210000,6
"S01001863",165000,11
"S01001864",114000,6
"S01001865",81750,2
"S01001866",333500,8
"S01001867",150000,9
"S01001868",291250,6
"S01001869",198000,10
"S01001870",107500,2
"S01001871",245000,43
"S01001872",145000,15
"S01001873",355000,6
"S01001874",102124,4
"S01001875",350045,15
"S01001876",142750,13
"S01001877",92750,6
"S01001878",425524,9
"S01001879",73150,1
"S01001880",83000,5
"S01001881",172500,7
"S01001882",130521,13
"S01001883",307250,6
"S01001884",89000,5
"S01001885",425350,22
"S01001886",50000,3
"S01001887",145000,7
"S01001888",329239,13
"S01001889",114000,5
"S01001890",118000,11
"S01001891",123000,11
"S01001892",85000,5
"S01001893",75000,5
"S01001894",83750,4
"S01001895",146000,9
"S01001896",460460,7
"S01001897",77000,7
"S01001898",78000,3
"S01001899",115000,5
"S01001900",145000,17
"S01001901",310000,15
"S01001902",297147,23
"S01001903",125000,7
"S01001904",1e+05,5
"S01001905",260000,13
"S01001906",175000,7
"S01001907",135000,3
"S01001908",305000,8
"S01001909",132600,1
"S01001910",108500,4
"S01001911",418938,14
"S01001912",123929,2
"S01001913",135000,11
"S01001914",518000,13
"S01001915",215075,12
"S01001916",215000,20
"S01001917",583034,16
"S01001918",129100,25
"S01001919",116500,12
"S01001920",154080,14
"S01001921",126500,8
"S01001922",173000,3
"S01001923",148000,3
"S01001924",265000,11
"S01001925",346025,6
"S01001926",125000,2
"S01001927",397500,17
"S01001928",157100,15
"S01001929",255000,28
"S01001930",201168,22
"S01001931",110000,1
"S01001933",296526,9
"S01001934",141500,25
"S01001935",89950,1
"S01001936",180180,31
"S01001937",123400,11
"S01001938",344500,7
"S01001939",230000,13
"S01001940",241000,15
"S01001941",296000,18
"S01001942",245500,18
"S01001943",107500,5
"S01001944",499000,15
"S01001945",335000,12
"S01001946",86500,2
"S01001947",270000,14
"S01001948",105000,11
"S01001949",91750,8
"S01001950",114000,15
"S01001951",107500,16
"S01001952",345500,10
"S01001953",295350,17
"S01001954",102500,4
"S01001955",120000,15
"S01001956",128000,3
"S01001957",104000,4
"S01001958",115000,18
"S01001959",130000,5
"S01001960",250000,11
"S01001961",172020,21
"S01001962",120000,11
"S01001963",161950,15
"S01001964",118000,11
"S01001965",125000,11
"S01001966",130000,10
"S01001967",93000,11
"S01001968",230000,16
"S01001969",132500,7
"S01001970",582050,11
"S01001971",95500,7
"S01001972",205125,14
"S01001973",102500,8
"S01001974",330000,25
"S01001975",232500,26
"S01001976",273760,5
"S01001977",124250,6
"S01001978",125000,9
"S01001979",356250,14
"S01001980",183560,19
"S01001981",157500,13
"S01001982",148500,11
"S01001983",205000,13
"S01001984",111500,14
"S01001985",155000,11
"S01001986",117475,16
"S01001987",315000,15
"S01001988",133750,10
"S01001989",3e+05,9
"S01001990",388440,14
"S01001991",125000,5
"S01001992",450000,10
"S01001993",390000,11
"S01001994",193250,18
"S01001995",148000,7
"S01001996",247601,18
"S01001997",157500,6
"S01001998",125000,8
"S01001999",310750,14
"S01002000",123750,8
"S01002001",106250,17
"S01002002",270509,5
"S01002003",172500,11
"S01002004",155000,23
"S01002005",125000,4
"S01002006",151250,4
"S01002007",95000,19
"S01002008",263263,11
"S01002009",171000,10
"S01002010",305000,9
"S01002011",203016,7
"S01002012",187089,14
"S01002013",128000,20
"S01002014",280313,10
"S01002015",185000,8
"S01002016",140000,17
"S01002017",117500,2
"S01002018",172500,12
"S01002019",280000,7
"S01002020",131000,3
"S01002021",110000,17
"S01002022",249999,9
"S01002023",234866,12
"S01002024",273169,14
"S01002025",120000,25
"S01002026",203559,8
"S01002027",185000,17
"S01002028",250000,9
"S01002029",301124,6
"S01002030",143750,24
"S01002031",98000,13
"S01002032",222500,15
"S01002033",125000,13
"S01002034",208387,13
"S01002035",155000,7
"S01002036",110250,14
"S01002037",198000,7
"S01002038",357500,4
"S01002039",244900,11
"S01002040",126000,10
"S01002041",203050,20
"S01002042",135000,27
"S01002043",180000,13
"S01002044",120500,2
"S01002045",177500,14
"S01002046",127500,14
"S01002047",331719,8
"S01002048",310000,5
"S01002049",190375,16
"S01002050",295000,5
"S01002051",143000,3
"S01002052",124750,16
"S01002053",226000,7
"S01002054",151000,11
"S01002055",199024,16
"S01002056",157625,14
"S01002057",180000,17
"S01002058",124000,13
"S01002059",101500,8
"S01002060",188200,12
"S01002061",150000,9
"S01002062",95000,6
"S01002063",210057,11
"S01002064",155000,17
"S01002065",317158,9
"S01002066",422500,14
"S01002067",172500,18
"S01002068",117500,14
"S01002069",290500,8
"S01002070",140814,10
"S01002071",129750,12
"S01002072",228750,22
"S01002073",114250,14
"S01002074",305000,6
"S01002075",162500,22
"S01002076",182121,5
"S01002077",265000,14
"S01002078",227500,12
"S01002079",150500,18
"S01002080",277638,4
"S01002081",205000,10
"S01002082",187000,13
"S01002083",103750,6
"S01002084",187250,10
"S01002085",167000,6
"S01002086",164775,8
"S01002087",136500,14
"S01002088",305000,9
"S01002089",291087,18
"S01002090",265000,15
"S01002091",144000,12
"S01002092",421125,12
"S01002093",156000,7
"S01002094",120000,9
"S01002095",330000,9
"S01002096",306603,45
"S01002097",322500,8
"S01002098",247750,6
"S01002099",270133,24
"S01002100",148250,12
"S01002101",240000,17
"S01002102",106999,7
"S01002103",155000,8
"S01002104",130000,7
"S01002105",5e+05,17
"S01002106",167500,15
"S01002107",185000,4
"S01002108",183000,15
"S01002109",202625,24
"S01002110",204375,6
"S01002111",308779,10
"S01002112",287000,19
"S01002113",255143,6
"S01002114",307703,9
"S01002115",420000,29
"S01002116",193039,10
"S01002117",130750,12
"S01002118",203501,12
"S01002119",120000,9
"S01002120",143500,8
"S01002121",125000,9
"S01002122",601500,10
"S01002123",270000,3
"S01002124",185000,7
"S01002125",211500,16
"S01002126",175000,6
"S01002127",155000,5
"S01002128",358750,18
"S01002129",178013,10
"S01002130",187000,3
"S01002131",2e+05,13
"S01002132",183375,14
"S01002133",330000,17
"S01002134",268554,8
"S01002135",507250,14
"S01002136",283759,12
"S01002137",138000,6
"S01002138",199000,6
"S01002139",184000,11
"S01002140",110000,4
"S01002141",223750,18
"S01002142",229998,23
"S01002143",155000,5
"S01002144",310000,10
"S01002145",458889,28
"S01002146",152000,21
"S01002147",145000,7
"S01002148",405000,4
"S01002149",129000,16
"S01002150",151000,16
"S01002151",120000,31
"S01002152",194500,19
"S01002153",250000,8
"S01002154",110000,9
"S01002155",118400,11
"S01002156",385000,20
"S01002157",515000,30
"S01002158",290000,22
"S01002159",445888,13
"S01002160",118750,6
"S01002161",302000,14
"S01002162",120000,11
"S01002163",149000,37
"S01002164",1e+05,4
"S01002165",139750,12
"S01002166",430000,25
"S01002167",118500,7
"S01002168",241500,18
"S01002169",235000,27
"S01002170",157500,10
"S01002171",220000,7
"S01002172",295000,10
"S01002173",190000,21
"S01002174",213560,32
"S01002175",149000,23
"S01002176",105000,7
"S01002177",225000,23
"S01002178",155000,25
"S01002179",248500,6
"S01002180",315250,12
"S01002181",110000,23
"S01002182",357500,24
"S01002183",112250,20
"S01002184",250000,11
"S01002185",1e+05,5
"S01002186",192750,18
"S01002187",332375,24
"S01002188",290000,17
"S01002189",145000,8
"S01002190",220000,19
"S01002191",110000,8
"S01002192",152550,4
"S01002193",429500,9
"S01002194",150000,8
"S01002195",190111,39
"S01002196",101250,6
"S01002197",139500,22
"S01002198",120000,17
"S01002199",240000,15
"S01002200",425000,8
"S01002201",241867,30
"S01002202",241750,22
"S01002203",177000,9
"S01002204",108000,7
"S01002205",232500,17
"S01002206",145500,20
"S01002207",283750,10
"S01002208",345276,13
"S01002209",115000,26
"S01002210",249000,9
"S01002212",104125,8
"S01002213",232500,8
"S01002214",237500,17
"S01002215",339839,20
"S01002216",113639,26
"S01002217",130000,19
"S01002218",217750,8
"S01002219",220000,15
"S01002220",362500,12
"S01002221",1e+05,11
"S01002222",351804,10
"S01002223",335866,10
"S01002224",305000,11
"S01002225",191500,21
"S01002226",220000,18
"S01002227",115000,12
"S01002228",282252,10
"S01002229",155000,25
"S01002230",148639,20
"S01002231",225050,28
"S01002232",124000,9
"S01002233",148998,14
"S01002234",140000,15
"S01002235",151500,32
"S01002236",126000,17
"S01002237",150000,13
"S01002238",125000,5
"S01002239",59500,5
"S01002240",118000,10
"S01002241",104000,14
"S01002242",182500,8
"S01002243",147000,17
"S01002244",131750,18
"S01002245",179000,40
"S01002246",117500,16
"S01002247",123000,5
"S01002248",255000,16
"S01002249",112850,6
"S01002250",197500,21
"S01002251",222516,4
"S01002252",3e+05,25
"S01002253",117000,11
"S01002254",120000,17
"S01002255",160600,50
"S01002256",175000,29
"S01002257",227500,15
"S01002258",135075,6
"S01002259",210000,3
"S01002260",206100,8
"S01002261",210000,15
"S01002262",225000,12
"S01002263",262889,10
"S01002264",140000,15
"S01002265",120000,51
"S01002266",119500,6
"S01002267",1e+05,3
"S01002268",275275,12
"S01002269",249995,29
"S01002270",140000,18
"S01002271",221000,6
"S01002272",180500,14
"S01002273",142500,14
"S01002274",176000,43
"S01002275",145000,15
"S01002276",371440,8
"S01002277",165000,5
"S01002278",70748,6
"S01002279",116500,4
"S01002280",249500,5
"S01002281",120000,1
"S01002282",144750,2
"S01002283",230000,15
"S01002284",153000,38
"S01002285",105000,9
"S01002286",172750,6
"S01002287",242979,17
"S01002288",177750,22
"S01002289",151250,26
"S01002290",150000,21
"S01002291",50000,1
"S01002292",152500,13
"S01002293",105000,6
"S01002294",250000,9
"S01002295",157000,10
"S01002297",176379,6
"S01002298",483394,7
"S01002299",229000,5
"S01002300",330000,15
"S01002301",127500,32
"S01002302",122500,6
"S01002303",125000,3
"S01002304",145000,23
"S01002305",115000,11
"S01002306",130000,7
"S01002307",166000,24
"S01002308",270000,19
"S01002309",95000,2
"S01002310",170000,27
"S01002311",360000,9
"S01002312",100500,2
"S01002313",248000,8
"S01002314",263800,17
"S01002315",2e+05,6
"S01002316",660000,9
"S01002317",170000,98
"S01002318",120000,18
"S01002319",80000,2
"S01002320",223108,14
"S01002321",75600,2
"S01002322",156147,8
"S01002323",135000,6
"S01002324",70500,6
"S01002325",133000,39
"S01002326",114050,14
"S01002327",156975,2
"S01002328",120000,6
"S01002329",147500,7
"S01002330",155000,3
"S01002331",126500,8
"S01002332",202500,6
"S01002333",175000,9
"S01002334",220056,18
"S01002335",268750,12
"S01002336",175000,10
"S01002337",195000,5
"S01002338",111500,5
"S01002339",65750,5
"S01002340",120,7
"S01002341",220000,1
"S01002342",122500,4
"S01002343",97500,3
"S01002345",59000,10
"S01002346",131750,12
"S01002347",105000,8
"S01002348",88500,6
"S01002349",70631,9
"S01002350",91000,9
"S01002351",78000,10
"S01002352",46500,8
"S01002353",104750,8
"S01002354",91500,11
"S01002355",73375,6
"S01002356",90500,9
"S01002357",114000,2
"S01002358",84152,7
"S01002359",70000,5
"S01002360",122250,4
"S01002361",117000,1
"S01002362",79000,7
"S01002363",134500,9
"S01002364",89000,6
"S01002365",62884,2
"S01002366",119000,8
"S01002367",65000,12
"S01002368",140,3
"S01002369",71248,4
"S01002370",74000,4
"S01002371",2500,7
"S01002372",122500,4
"S01002373",45000,5
"S01002374",68254,6
"S01002375",175000,3
"S01002376",128000,6
"S01002377",70000,7
"S01002378",244250,2
"S01002379",138000,48
"S01002380",60000,5
"S01002381",92250,6
"S01002382",13639,1
"S01002383",164000,4
"S01002384",85400,4
"S01002385",84000,6
"S01002386",135000,9
"S01002387",95500,12
"S01002388",160000,9
"S01002389",151500,9
"S01002390",163250,24
"S01002391",223611,13
"S01002392",151000,26
"S01002393",195000,15
"S01002394",223000,5
"S01002395",134000,7
"S01002396",126500,4
"S01002397",115000,27
"S01002398",122105,14
"S01002399",69500,3
"S01002400",85000,11
"S01002401",187250,8
"S01002402",77500,2
"S01002403",73000,3
"S01002404",151500,7
"S01002405",90000,5
"S01002406",34750,4
"S01002407",83000,1
"S01002408",68000,5
"S01002409",148000,15
"S01002410",137500,5
"S01002411",138250,26
"S01002412",113500,8
"S01002413",100500,6
"S01002414",65000,1
"S01002415",68750,6
"S01002416",156000,9
"S01002417",145000,6
"S01002418",1e+05,9
"S01002419",232500,3
"S01002420",68750,4
"S01002421",155000,5
"S01002422",175000,9
"S01002423",111500,12
"S01002424",95000,11
"S01002425",137500,8
"S01002426",69250,10
"S01002427",112500,12
"S01002428",135000,4
"S01002429",54250,4
"S01002430",122500,7
"S01002431",107500,7
"S01002432",127450,28
"S01002433",85000,10
"S01002434",90250,8
"S01002435",75500,4
"S01002436",99263,6
"S01002437",160000,7
"S01002438",75000,4
"S01002439",71000,4
"S01002440",78500,8
"S01002441",94000,6
"S01002442",75525,10
"S01002443",55750,2
"S01002444",76000,2
"S01002445",73500,6
"S01002446",124750,20
"S01002447",85000,7
"S01002449",154998,4
"S01002450",65000,7
"S01002451",84500,8
"S01002452",85000,7
"S01002453",158241,3
"S01002454",132000,7
"S01002455",105000,1
"S01002456",77500,8
"S01002457",83500,2
"S01002458",79250,4
"S01002459",50500,14
"S01002460",71500,2
"S01002461",163750,4
"S01002462",80000,7
"S01002463",85000,3
"S01002464",78000,3
"S01002465",198000,12
"S01002466",80000,8
"S01002467",80500,7
"S01002468",75000,2
"S01002469",83500,3
"S01002470",86000,5
"S01002471",89000,5
"S01002472",84750,4
"S01002473",69500,6
"S01002474",61000,6
"S01002475",113500,2
"S01002476",87500,9
"S01002477",80500,4
"S01002478",78500,9
"S01002479",82750,2
"S01002480",30000,28
"S01002481",78500,4
"S01002482",66250,4
"S01002484",70000,5
"S01002485",117500,6
"S01002486",41600,3
"S01002487",74454,4
"S01002488",62500,7
"S01002489",50000,3
"S01002490",75000,3
"S01002491",90000,3
"S01002492",175000,13
"S01002493",94000,13
"S01002494",73000,7
"S01002495",90000,3
"S01002496",91000,16
"S01002497",54000,15
"S01002498",1e+05,6
"S01002499",71750,4
"S01002500",64250,2
"S01002501",311500,2
"S01002502",67500,1
"S01002503",116500,4
"S01002504",98750,18
"S01002505",60000,3
"S01002506",78750,8
"S01002507",74000,9
"S01002508",99000,10
"S01002509",79500,8
"S01002510",117600,13
"S01002511",195000,3
"S01002512",62500,10
"S01002513",162000,23
"S01002514",55000,5
"S01002515",74500,2
"S01002516",79500,20
"S01002517",85000,2
"S01002518",228000,16
"S01002519",75000,3
"S01002520",85000,3
"S01002521",112750,6
"S01002522",152250,6
"S01002523",143200,3
"S01002524",49000,5
"S01002525",50500,4
"S01002526",240000,2
"S01002527",115500,10
"S01002528",136500,8
"S01002529",105000,5
"S01002530",75000,2
"S01002531",80750,14
"S01002532",68210,4
"S01002533",77250,2
"S01002534",103500,4
"S01002535",135000,7
"S01002537",164000,1
"S01002538",121000,10
"S01002539",68375,8
"S01002540",81750,2
"S01002541",171750,22
"S01002542",182750,24
"S01002543",59000,3
"S01002544",110000,7
"S01002545",89750,6
"S01002546",124250,12
"S01002547",88000,13
"S01002548",140000,25
"S01002550",109938,2
"S01002551",88500,8
"S01002552",95000,3
"S01002553",110250,14
"S01002554",120000,7
"S01002555",74000,4
"S01002556",56000,3
"S01002557",81250,8
