"datazone","lt_mean","lt_med"
"S01000001",1.14587861971951,0.853109836540907
"S01000002",1.09576580030838,1.07393031644616
"S01000003",0.8949292370082,0.891066958570499
"S01000004",1.05107929142204,1.00685914206997
"S01000005",1.00836660360346,0.889503581973752
"S01000006",1.05958675435011,0.90323775627672
"S01000007",1.62071602742474,1.43370595141162
"S01000008",0.952472408798966,0.841833602463263
"S01000009",1.17313598161212,1.18889777866295
"S01000010",0.948727747405659,0.899978754262336
"S01000011",2.52292892921653,2.21408654607464
"S01000012",1.47809138545575,1.44626142569147
"S01000013",1.59821549808583,1.62437800444438
"S01000014",1.03107939167573,0.954171076435225
"S01000015",0.825227889849436,0.835685395723078
"S01000016",3.04702035302546,2.96221096574835
"S01000017",0.87582866233434,0.876099420712754
"S01000018",0.795254738070243,0.825515762387021
"S01000019",1.52173084257058,1.45097834011066
"S01000020",1.75722069785396,1.24344675387318
"S01000021",0.948565890537989,0.931568930008254
"S01000022",2.96112547952693,2.63976549653252
"S01000023",2.03997793723966,1.9299604222646
"S01000024",2.37514535752407,2.34610047630614
"S01000025",2.57744249496635,2.4536800557798
"S01000026",0.822338384465731,0.699521541927704
"S01000027",1.96180278080416,1.71623455148373
"S01000028",0.733527585020942,0.754954199954484
"S01000029",3.06799776412275,3.05665943483119
"S01000030",0.670528957444574,0.650336678953732
"S01000031",1.71342353873733,1.4603969576828
"S01000032",0.764794410424537,0.790930498078521
"S01000033",0.575360473551256,0.565713160548713
"S01000034",2.61652321065011,2.32718116011108
"S01000035",0.777320301899905,0.743195414358811
"S01000036",0.792773875978155,0.823226303726511
"S01000037",0.955313759932924,0.910178938365312
"S01000038",0.804730799641687,0.794784069353433
"S01000039",0.715825910810043,0.711209543948509
"S01000040",0.825128896398995,0.80744879838422
"S01000041",1.23787135965127,1.16985509985388
"S01000042",1.08353816061273,1.09051739393463
"S01000043",0.765671217924342,0.722896745126981
"S01000044",0.750232418653767,0.708530688893631
"S01000045",1.52666362171325,1.4953779176483
"S01000046",1.80764874690585,1.6840286824131
"S01000047",0.799351413585488,0.771260259020063
"S01000048",1.33057524990895,1.34932266393343
"S01000049",1.62524956720712,1.57324374782571
"S01000050",1.36574960602307,1.28464503609442
