"","datazone","local_authority"
"137","S01003354","Glasgow City"
"138","S01003048","Glasgow City"
"139","S01003352","Glasgow City"
"140","S01003107","Glasgow City"
"141","S01003160","Glasgow City"
"142","S01003182","Glasgow City"
"143","S01003035","Glasgow City"
"144","S01003291","Glasgow City"
"145","S01003263","Glasgow City"
"146","S01003718","Glasgow City"
"147","S01003121","Glasgow City"
"148","S01003701","Glasgow City"
"149","S01003493","Glasgow City"
"150","S01003636","Glasgow City"
"151","S01003443","Glasgow City"
"152","S01003045","Glasgow City"
"153","S01003099","Glasgow City"
"154","S01003398","Glasgow City"
"155","S01003634","Glasgow City"
"156","S01003033","Glasgow City"
"157","S01003158","Glasgow City"
"158","S01003512","Glasgow City"
"159","S01003640","Glasgow City"
"160","S01003543","Glasgow City"
"161","S01003333","Glasgow City"
"162","S01003457","Glasgow City"
"163","S01003190","Glasgow City"
"164","S01003221","Glasgow City"
"165","S01003084","Glasgow City"
"166","S01003269","Glasgow City"
"167","S01003372","Glasgow City"
"168","S01003272","Glasgow City"
"169","S01003431","Glasgow City"
"170","S01003029","Glasgow City"
"171","S01003387","Glasgow City"
"172","S01003369","Glasgow City"
"173","S01003519","Glasgow City"
"174","S01003083","Glasgow City"
"175","S01003411","Glasgow City"
"176","S01003712","Glasgow City"
"177","S01003531","Glasgow City"
"178","S01003386","Glasgow City"
"179","S01003563","Glasgow City"
"180","S01003287","Glasgow City"
"181","S01003396","Glasgow City"
"182","S01003185","Glasgow City"
"183","S01003508","Glasgow City"
"184","S01003181","Glasgow City"
"185","S01003244","Glasgow City"
"186","S01003459","Glasgow City"
"187","S01003657","Glasgow City"
"188","S01003483","Glasgow City"
"189","S01003262","Glasgow City"
"190","S01003167","Glasgow City"
"191","S01003150","Glasgow City"
"192","S01003710","Glasgow City"
"193","S01003357","Glasgow City"
"194","S01003488","Glasgow City"
"195","S01003610","Glasgow City"
"196","S01003206","Glasgow City"
"197","S01003307","Glasgow City"
