"datazone","Y2005Q1.price","Y2005Q2.price","Y2005Q3.price","Y2005Q4.price","Y2006Q1.price","Y2006Q2.price","Y2006Q3.price","Y2006Q4.price","Y2007Q1.price","Y2007Q2.price","Y2007Q3.price","Y2007Q4.price","Y2008Q1.price","Y2008Q2.price","Y2008Q3.price","Y2008Q4.price","Y2009Q1.price","Y2009Q2.price","Y2009Q3.price","Y2009Q4.price"
"S01003025",11.3916369523234,11.4230050986587,11.4141231834411,11.4310487181895,11.4878693338217,11.519237480157,11.5103555649394,11.5272810996878,11.5798763450744,11.6112444914097,11.6023625761921,11.6192881109405,11.5640972828895,11.5954654292248,11.5865835140072,11.6035090487556,11.4529675814782,11.4843357278135,11.4754538125959,11.4923793473443
"S01003026",11.4030548374356,11.4341531528231,11.4245677120034,11.4420757398968,11.4985327873601,11.5296311027476,11.5200456619279,11.5375536898214,11.5902106381616,11.6213089535491,11.6117235127294,11.6292315406229,11.5768166239409,11.6079149393284,11.5983294985087,11.6158375264022,11.4631382617607,11.4942365771482,11.4846511363285,11.5021591642219
"S01003027",11.3160799464448,11.349093418726,11.3513355509741,11.3609647427499,11.4238438323816,11.4568573046628,11.4590994369108,11.4687286286866,11.5234714317811,11.5564849040623,11.5587270363103,11.5683562280862,11.4888940007201,11.5219074730013,11.5241496052493,11.5337787970251,11.3986627860468,11.431676258328,11.433918390576,11.4435475823519
"S01003029",11.4806710948056,11.5084692660582,11.4975436260626,11.5186805782206,11.5752074154919,11.6030055867445,11.5920799467489,11.6132168989069,11.6646080086752,11.6924061799278,11.6814805399322,11.7026174920902,11.6484864920024,11.676284663255,11.6653590232594,11.6864959754174,11.5296483990543,11.5574465703069,11.5465209303113,11.5676578824693
"S01003030",11.4722012401126,11.5008994108942,11.4889616855434,11.5095943236289,11.5657929282701,11.5944910990518,11.582553373701,11.6031860117865,11.6544928842142,11.6831910549959,11.671253329645,11.6918859677306,11.6480956528383,11.6767938236199,11.6648560982691,11.6854887363546,11.523247104937,11.5519452757187,11.5400075503679,11.5606401884534
"S01003032",11.433815410648,11.4649842493792,11.4530127354525,11.4698470092811,11.5253934277444,11.5565622664757,11.544590752549,11.5614250263775,11.6146585475425,11.6458273862737,11.633855872347,11.6506901461755,11.6246092749946,11.6557781137259,11.6438065997992,11.6606408736277,11.49397170514,11.5251405438713,11.5131690299446,11.5300033037731
"S01003033",11.4671153393055,11.4972475736533,11.4846346457326,11.503542570771,11.5604028296363,11.5905350639842,11.5779221360635,11.5968300611019,11.6466941992504,11.6768264335982,11.6642135056776,11.683121430716,11.6569947746414,11.6871270089892,11.6745140810686,11.693422006107,11.5207371638832,11.550869398231,11.5382564703103,11.5571643953487
"S01003034",11.3129497582048,11.3458994048138,11.3483602017061,11.3580199933328,11.4210566288735,11.4540062754825,11.4566565841283,11.466886045337,11.5216992270678,11.5543596706871,11.5575211841639,11.5677506453726,11.4862452423356,11.5191948889446,11.5218001375047,11.5320295987134,11.3960710450971,11.4290206917061,11.4314814885984,11.4415228931153
"S01003035",11.4205621372937,11.4522778127542,11.4403566816321,11.4567177151848,11.5102828741223,11.5418635291977,11.5300554528436,11.5464362776626,11.6032986078325,11.635014283293,11.6230931521709,11.6394541857236,11.6066669955176,11.6382476505929,11.6264395742388,11.6428203990579,11.482030511621,11.5136111666963,11.5018030903423,11.5181839151613
"S01003036",11.4709835942798,11.501203932572,11.4884429506292,11.5072851612937,11.5641734316701,11.5943937699623,11.5816327880196,11.6004749986841,11.6501577424061,11.6803780806983,11.6676170987556,11.6864593094201,11.6617471160914,11.6919674543836,11.6792064724409,11.6980486831054,11.5239824086448,11.554202746937,11.5414417649943,11.5602839756588
"S01003037",11.2677400844777,11.3023679905181,11.308241446935,11.3137416761237,11.3778924160718,11.4125203221122,11.4184496132667,11.4239639883203,11.484710519688,11.5193746990986,11.5253803934175,11.5308947684711,11.4478651106429,11.4825292900535,11.4885349843725,11.494049359426,11.361101685965,11.3957310865643,11.4017367808832,11.4072511559367
"S01003038",11.2866271127508,11.3199025570749,11.3244783918244,11.333238416998,11.3971734588287,11.4304489031528,11.4350247379022,11.4437847630758,11.5007839257013,11.5340593700254,11.5386352047749,11.5473952299485,11.4644739952147,11.4977494395388,11.5023252742883,11.5110852994619,11.3756284853676,11.4089039296917,11.4134797644412,11.4222397896148
"S01003039",11.3241108460216,11.3570973320951,11.3589501402831,11.3688781718852,11.4314490499113,11.4644355359848,11.4662883441727,11.4762163757749,11.5305638895961,11.5635503756696,11.5654031838576,11.5753312154597,11.4960092254317,11.5289957115052,11.5308485196932,11.5407765512953,11.4053615532886,11.4383480393621,11.44020084755,11.4501288791522
"S01003040",11.5250358756489,11.553876089957,11.5391207256531,11.5604574593962,11.6139385152259,11.6427787295341,11.6280233652301,11.6493600989732,11.7023219962476,11.7311622105558,11.7164068462518,11.7377435799949,11.7039015532133,11.7327788474868,11.7181341412101,11.7394811732612,11.5662615824453,11.5951017967535,11.5803464324495,11.6016831661926
"S01003041",11.2861647856796,11.3194260316839,11.3244056380677,11.3334791199899,11.3973930038783,11.4306542498826,11.4356338562664,11.4447073381886,11.501849998433,11.5351112444373,11.5400908508211,11.5491643327433,11.4649246630044,11.4981859090087,11.5031655153925,11.5122389973147,11.3758749318715,11.4091361778758,11.4141157842596,11.4231892661818
"S01003042",11.4309569458301,11.4624799802384,11.450251181277,11.4667973931103,11.5190882662894,11.5506113006977,11.5383825017364,11.5549287135696,11.6123887206594,11.6439117550678,11.6316829561064,11.6482291679396,11.616083288473,11.6476063228813,11.63537752392,11.6519237357532,11.4909016589414,11.5224246933498,11.5101958943884,11.5267421062216
"S01003043",11.4329921333079,11.4647483188921,11.452329857868,11.4689533897716,11.5191241361622,11.5508803217464,11.5384618607222,11.5550853926259,11.6146879764262,11.6464441620104,11.6340257009862,11.6506492328899,11.6144402336452,11.6461964192294,11.6337779582052,11.6504014901089,11.4922186904182,11.5239748760024,11.5115564149783,11.5281799468819
"S01003044",11.4724020074602,11.5033396038552,11.4905071483437,11.5075079514269,11.5580430749033,11.5889806712984,11.5761482157869,11.5931490188701,11.6494734398179,11.6804110362129,11.6675785807014,11.6845793837846,11.6570018457136,11.6879394421087,11.6751069865972,11.6921077896804,11.5249297731922,11.5558673695873,11.5430349140758,11.5600357171589
"S01003045",11.3270129445921,11.3588967407192,11.3626085025931,11.3746940752476,11.4379067605653,11.4699336895098,11.4734887438254,11.4853585188366,11.5389137268792,11.5709406558237,11.5744957101393,11.5863654851505,11.5017664264927,11.5337933554372,11.5373484097527,11.549218184764,11.4096212787714,11.4415050748985,11.4452100771808,11.4570798521921
"S01003046",11.4430817245,11.474794882671,11.4620368538272,11.4791249801056,11.5281943348297,11.5598936973356,11.5471584285508,11.564155308797,11.624005584802,11.655718742973,11.6429607141292,11.6600488404076,11.6227459376101,11.6544590957811,11.6417010669373,11.6587891932158,11.5005608913745,11.5322740495455,11.5195160207017,11.5366041469802
"S01003047",11.5681919429539,11.5942642130012,11.5785251469884,11.6027840924924,11.6548620500258,11.680934320073,11.6651952540603,11.6894541995642,11.7457166197026,11.7717888897499,11.7560498237371,11.7803087692411,11.7364076459007,11.762479915948,11.7467408499352,11.7709997954391,11.6004553714071,11.6265276414544,11.6107885754416,11.6350475209455
"S01003048",11.5536410855246,11.5819393999051,11.5666773469663,11.5882347876853,11.6402506609805,11.668548975361,11.6532869224222,11.6748443631412,11.7298543346158,11.7581526489964,11.7428905960576,11.7644480367766,11.7307890829947,11.7590873973752,11.7438253444364,11.7653827851554,11.5895743648026,11.6178726791832,11.6026106262443,11.6241680669634
"S01003049",11.5368495983239,11.567228891798,11.5546769134717,11.5713192034701,11.6214878788821,11.6518671723562,11.6393151940299,11.6559574840284,11.7112189345839,11.741598228058,11.7290462497317,11.7456885397301,11.7192780605153,11.7496573539894,11.7371053756631,11.7537476656615,11.5771646213592,11.6075439148333,11.594991936507,11.6116342265054
"S01003050",11.6081984514051,11.6322865293309,11.6160558285297,11.6413632116048,11.6916483114911,11.715736389417,11.6995056886158,11.7248130716908,11.7849141127843,11.8090021907101,11.7927714899089,11.818078872984,11.768469902136,11.7925579800619,11.7763272792607,11.8016346623357,11.6327602071703,11.6568482850962,11.640617584295,11.66592496737
"S01003051",11.3065627862159,11.3391295238704,11.3447107220901,11.3564716031248,11.4199412324566,11.4525079701111,11.4580891683308,11.4698500493655,11.5250383554625,11.557605093117,11.5631862913367,11.5749471723714,11.4864191509627,11.5189858886172,11.5245670868369,11.5363279678716,11.3950829438604,11.427649681515,11.4332308797347,11.4449917607694
"S01003052",11.5137649668205,11.5441800403909,11.5328762972676,11.5486506214723,11.5963159126355,11.6267309862059,11.6154272430825,11.6312015672872,11.6876865854347,11.7181016590051,11.7067979158818,11.7225722400864,11.6953604567218,11.7257755302922,11.7144717871689,11.7302461113735,11.5584655646081,11.5888806381785,11.5775768950552,11.5933512192598
"S01003053",11.3315142479121,11.3632323073649,11.3687423584689,11.3821789753781,11.445553579516,11.4772716389688,11.4827816900728,11.496218306982,11.5489873771993,11.5807054366521,11.5862154877561,11.5996521046652,11.5098581817433,11.5415762411962,11.5470862923001,11.5605229092093,11.4164090065633,11.4481270660161,11.4536371171201,11.4670737340293
"S01003054",11.5923702277501,11.6194173243761,11.6043193535542,11.6258506346479,11.6750953546934,11.7021919513082,11.6870939804863,11.70862526158,11.7672745918917,11.7943216885178,11.7792237176958,11.8007549987895,11.7627541596396,11.7898012562656,11.7747032854437,11.7962345665374,11.6216041089991,11.6486512056251,11.6335532348032,11.6550845158969
"S01003055",11.3759199730282,11.4073181402126,11.4100312177255,11.4237207724012,11.4856706243252,11.5170687915096,11.5197818690225,11.5334714236981,11.5841733358982,11.6155715030826,11.6182845805955,11.6319741352712,11.5450830270944,11.5764811942788,11.5791942717917,11.5928838264674,11.4497987579053,11.4811969250897,11.4839100026026,11.4975995572782
"S01003056",11.3498030995606,11.3814551653629,11.3864051752548,11.3997195726827,11.462602639731,11.4942547055332,11.4992047154252,11.512519112853,11.5643909074022,11.5960429732044,11.6009929830964,11.6143073805242,11.5250174567019,11.5566695225042,11.5616195323961,11.574933929824,11.430708124114,11.4623601899162,11.4673101998082,11.480624597236
"S01003057",11.5763852606439,11.605434418271,11.5924941648702,11.6106705596601,11.6583731485918,11.6874223062189,11.674482052818,11.692658447608,11.7500854372415,11.7791345948685,11.7661943414677,11.7843707362577,11.7511051750587,11.7801543326857,11.7672140792849,11.7853904740748,11.6097412277761,11.6387903854031,11.6258501320023,11.6440265267922
