datazone,sellingp
S01003420,27027.5
S01003421,80250
S01003422,62995
S01003423,94000
S01003424,52000
S01003425,116389.5
S01003426,65000
S01003427,70000
S01003428,29000
S01003429,156250
S01003430,123000
S01003431,70000
S01003432,155250
S01003433,135025
S01003434,41000
S01003435,85583.5
S01003436,83750
S01003437,185000
S01003438,115000
S01003439,75625
S01003440,45000
S01003441,33000
S01003442,40760
S01003443,55833.5
S01003445,61000
S01003446,113800
S01003447,77750
S01003448,76775
S01003449,111500
S01003450,113130.5
S01003451,125000
S01003452,82250
S01003453,188000
S01003454,129975
S01003455,59750
S01003457,62125
S01003458,79995
S01003459,47500
S01003460,152500
S01003461,100000
S01003462,37250
S01003463,32500
S01003464,146225
S01003465,92000
S01003466,110000
S01003467,71000
S01003468,123975
S01003469,100000
S01003470,109500
S01003471,59250
S01003473,84725
S01003474,152000
S01003475,130058.5
S01003476,53000
S01003477,93325
S01003478,139000
S01003479,119250
S01003480,83500
S01003481,125062.5
S01003482,96250
S01003483,56500
S01003484,186000
S01003485,176875.5
S01003486,60100
S01003487,145000
S01003488,55100
S01003489,59327.5
S01003490,101250
S01003491,35000
S01003492,120500
S01003493,95000
S01003494,127550
S01003495,51000
S01003496,110000
S01003497,176110
S01003498,125000
S01003499,99500
S01003501,129900
S01003502,48500
S01003503,180000
S01003504,182500
S01003506,138000
S01003507,95000
S01003508,125000
S01003509,175000
S01003510,58059.5
S01003511,202500
S01003512,41000
S01003513,173500
S01003514,170000
S01003515,70500
S01003516,82000
S01003517,90022
S01003518,71500
S01003519,82000
S01003520,170000
S01003521,182500
S01003522,173081.5
S01003523,51000
S01003524,155883
S01003525,140000
S01003526,184000
S01003527,141500
S01003528,77500
S01003529,87775
S01003530,150225
S01003531,72300
S01003532,173000
S01003534,58000
S01003535,71000
S01003536,228500
S01003537,117000
S01003538,80000
S01003539,167500
S01003540,59250
S01003541,52000
S01003542,180000
S01003543,59250
S01003544,210000
S01003545,210000
S01003546,57000
S01003547,122750
S01003548,62275
S01003549,43500
S01003550,105000
S01003551,50000
S01003552,165851.5
S01003553,49000
S01003554,144000
S01003555,230000
S01003556,233786.5
S01003557,62500
S01003558,207500
S01003559,245000
S01003560,170000
S01003561,82625
S01003562,69056
S01003563,62750
S01003564,49250
S01003565,54250
S01003566,136500
S01003567,53000
S01003568,178750
S01003569,97000
S01003570,107500
S01003571,65177
S01003572,45750
S01003573,69997.5
S01003574,142750
S01003575,82500
S01003576,156000
S01003577,85000
S01003578,61000
S01003580,53000
S01003581,82500
S01003582,31500
S01003583,70011
S01003584,78456
S01003585,88575
S01003586,108500
S01003587,340000
S01003588,75332.5
S01003589,126750
S01003590,55000
S01003591,181500
S01003592,105000
S01003593,82500
S01003594,190000
S01003595,88100
S01003596,52005
S01003597,256361
S01003598,78250
S01003599,73000
S01003600,55750
S01003601,56500
S01003602,88000
S01003603,114000
S01003604,89042
S01003605,113000
S01003606,80000
S01003607,98100
S01003608,87000
S01003609,163000
S01003610,59750
S01003611,57000
S01003612,130215.5
S01003613,95000
S01003614,115000
S01003615,115000
S01003616,130000
S01003617,39500
S01003618,120000
S01003619,52500
S01003620,89000
S01003621,66000
S01003622,94000
S01003623,185000
S01003624,105000
S01003625,74500
S01003626,90000
S01003627,45000
S01003628,61000
S01003629,65525
S01003630,90000
S01003631,140075
S01003632,113035
S01003633,70000
S01003634,62497.5
S01003635,75000
S01003636,58625
S01003637,122108.5
S01003638,107000
S01003639,80000
S01003640,55000
S01003641,125000
S01003642,93000
S01003643,77500
S01003644,100000
S01003645,113000
S01003646,73037
S01003647,99500
S01003648,92000
S01003649,87087
S01003650,71500
S01003651,95500
S01003652,79995
S01003653,85750
S01003654,105000
S01003655,64000
S01003656,61475
S01003657,52000
S01003658,116009
S01003659,84750
S01003660,135000
S01003661,110000
S01003662,100760.5
S01003663,74995
S01003664,66137.5
S01003665,9000
S01003666,71750
S01003667,119000
S01003668,105000
S01003669,71000
S01003670,44500
S01003671,96252.5
S01003672,63500
S01003673,55000
S01003674,85500
S01003675,106000
S01003676,130505
S01003677,58062.5
S01003678,110000
S01003679,96000
S01003680,62000
S01003681,93796.5
S01003682,121750
S01003683,108000
S01003684,105000
S01003685,95000
S01003686,65000
S01003687,78000
S01003688,69475
S01003689,64000
S01003690,70150
S01003691,70250
S01003692,88000
S01003693,90000
S01003694,127497.5
S01003695,82500
S01003696,87250
S01003697,160000
S01003698,112000
S01003699,82475
S01003700,68775.5
S01003701,63750
S01003702,59500
S01003703,60000
S01003704,58997.5
S01003705,46000
S01003706,50000
S01003707,40000
S01003708,25000
S01003709,73500
S01003710,47125
S01003711,82475
S01003712,75030
S01003713,47000
S01003714,83000
S01003715,99750
S01003716,47000
S01003717,49250
S01003718,100000
